City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nikolskoye,RU,59.7035,30.7861,24.8,92,100,11.63,light snow
1,Kroya,ID,-7.6331,109.2461,76.59,87,98,2.42,overcast clouds
2,Narasannapeta,IN,18.4167,84.05,67.87,87,2,4.38,clear sky
3,Flagstaff,US,35.1981,-111.6513,44.26,35,0,12.66,clear sky
4,Slavuta,UA,50.3016,26.8651,26.58,87,33,5.06,scattered clouds
5,Vaini,TO,-21.2,-175.2,82.56,89,75,11.5,light rain
6,Olafsvik,IS,64.8945,-23.7142,38.8,72,97,18.92,light rain
7,Nenjiang,CN,49.1833,125.2167,-20.43,100,92,1.7,overcast clouds
8,Vao,NC,-22.6667,167.4833,76.68,71,100,10.76,overcast clouds
9,Athabasca,CA,54.7169,-113.2854,1.81,82,97,16.98,overcast clouds
10,Ribeira Grande,PT,38.5167,-28.7,56.77,80,11,10.0,few clouds
11,Cidreira,BR,-30.1811,-50.2056,75.92,89,97,7.09,overcast clouds
12,North Bend,US,43.4065,-124.2243,47.91,92,100,8.05,overcast clouds
13,Pangnirtung,CA,66.1451,-65.7125,-38.65,87,38,6.73,scattered clouds
14,Sao Filipe,CV,14.8961,-24.4956,74.07,69,57,10.6,broken clouds
15,Faanui,PF,-16.4833,-151.75,81.12,73,8,13.0,light rain
16,Rehoboth,NA,-23.3167,17.0833,75.97,42,63,9.01,light rain
17,Georgetown,MY,5.4112,100.3354,76.95,78,20,2.3,few clouds
18,Kavaratti,IN,10.5669,72.642,79.47,73,6,11.56,clear sky
19,Avarua,CK,-21.2078,-159.775,84.25,74,60,10.36,broken clouds
20,Bundaberg,AU,-24.85,152.35,84.22,68,13,3.0,few clouds
21,Cap Malheureux,MU,-19.9842,57.6142,77.47,89,81,6.26,moderate rain
22,Thompson,CA,55.7435,-97.8558,-12.84,64,75,13.8,broken clouds
23,Hasaki,JP,35.7333,140.8333,25.2,47,97,9.44,overcast clouds
24,Meulaboh,ID,4.1363,96.1285,74.57,87,100,2.86,overcast clouds
25,Banda Aceh,ID,5.5577,95.3222,75.85,85,100,7.92,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,62.62,58,100,11.18,overcast clouds
27,Tiksi,RU,71.6872,128.8694,-29.31,99,100,6.31,overcast clouds
28,Madison,US,34.7334,-86.5667,60.15,32,100,9.22,overcast clouds
29,Tonantins,BR,-2.8731,-67.8022,74.93,94,99,0.51,overcast clouds
30,Bethel,US,41.3712,-73.414,48.07,48,0,3.44,clear sky
31,Haines Junction,CA,60.7522,-137.5108,13.5,92,97,0.69,overcast clouds
32,Pavlohrad,UA,48.5167,35.8667,31.17,84,100,7.81,overcast clouds
