City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Kroya,ID,76.59,overcast clouds,-7.6331,109.2461,No hotel found
5,Vaini,TO,82.56,light rain,-21.2,-175.2,No hotel found
8,Vao,NC,76.68,overcast clouds,-22.6667,167.4833,No hotel found
11,Cidreira,BR,75.92,overcast clouds,-30.1811,-50.2056,No hotel found
14,Sao Filipe,CV,74.07,broken clouds,14.8961,-24.4956,No hotel found
15,Faanui,PF,81.12,light rain,-16.4833,-151.75,No hotel found
17,Georgetown,MY,76.95,few clouds,5.4112,100.3354,No hotel found
18,Kavaratti,IN,79.47,clear sky,10.5669,72.642,No hotel found
19,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,No hotel found
20,Bundaberg,AU,84.22,few clouds,-24.85,152.35,No hotel found
21,Cap Malheureux,MU,77.47,moderate rain,-19.9842,57.6142,No hotel found
24,Meulaboh,ID,74.57,overcast clouds,4.1363,96.1285,No hotel found
25,Banda Aceh,ID,75.85,overcast clouds,5.5577,95.3222,No hotel found
29,Tonantins,BR,74.93,overcast clouds,-2.8731,-67.8022,No hotel found
33,Durazno,UY,82.56,scattered clouds,-33.4131,-56.5006,No hotel found
35,Parana,AR,89.55,broken clouds,-31.732,-60.5238,No hotel found
38,Galle,LK,71.78,overcast clouds,6.0367,80.217,No hotel found
40,Omboue,GA,77.43,broken clouds,-1.5746,9.2618,No hotel found
41,Rikitea,PF,78.39,light rain,-23.1203,-134.9692,No hotel found
45,Mataura,NZ,74.73,clear sky,-46.1927,168.8643,No hotel found
47,Kavieng,PG,84.07,broken clouds,-2.5744,150.7967,No hotel found
52,Gwanda,ZW,74.37,scattered clouds,-20.9333,29.0,No hotel found
53,Nelson Bay,AU,85.08,scattered clouds,-32.7167,152.15,No hotel found
55,High Rock,BS,73.42,overcast clouds,26.6208,-78.2833,No hotel found
58,Tocantins,BR,71.89,light rain,-10.5,-48.0,No hotel found
59,Butaritari,KI,81.07,overcast clouds,3.0707,172.7902,No hotel found
61,Galveston,US,72.18,overcast clouds,29.3669,-94.9669,No hotel found
63,Umm Lajj,SA,73.09,clear sky,25.0213,37.2685,No hotel found
69,Satipo,PE,74.84,overcast clouds,-11.2522,-74.6386,No hotel found
70,Imbituba,BR,77.43,overcast clouds,-28.24,-48.6703,No hotel found
72,Salaga,GH,87.66,scattered clouds,8.5508,-0.5188,No hotel found
73,Rocha,UY,71.29,broken clouds,-34.4833,-54.3333,No hotel found
74,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,No hotel found
77,Waingapu,ID,79.72,overcast clouds,-9.6567,120.2641,No hotel found
79,Kayes,ML,76.39,overcast clouds,14.0,-11.0,No hotel found
87,San Patricio,US,71.19,overcast clouds,28.017,-97.5169,No hotel found
88,Atuona,PF,78.75,scattered clouds,-9.8,-139.0333,No hotel found
89,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,No hotel found
95,Callaguip,PH,71.62,overcast clouds,18.0714,120.4867,No hotel found
97,Ulladulla,AU,75.29,light rain,-35.35,150.4667,No hotel found
98,Carnarvon,AU,75.6,clear sky,-24.8667,113.6333,No hotel found
99,Sembakung,ID,72.64,light rain,3.8167,117.25,No hotel found
100,Dingle,PH,73.92,overcast clouds,10.9995,122.6711,No hotel found
101,Raga,SS,76.23,clear sky,8.4596,25.678,No hotel found
102,Hervey Bay,AU,81.01,few clouds,-25.2986,152.8535,No hotel found
108,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,No hotel found
110,Panaba,MX,77.2,light rain,21.2833,-88.2667,No hotel found
119,Kapaa,US,79.12,few clouds,22.0752,-159.319,No hotel found
121,Ambilobe,MG,74.32,broken clouds,-13.2,49.05,No hotel found
125,Hilo,US,71.28,moderate rain,19.7297,-155.09,No hotel found
127,Namibe,AO,74.34,overcast clouds,-15.1961,12.1522,No hotel found
128,Grand Gaube,MU,77.38,moderate rain,-20.0064,57.6608,No hotel found
134,Bambous Virieux,MU,77.22,broken clouds,-20.3428,57.7575,No hotel found
140,Comodoro Rivadavia,AR,89.46,clear sky,-45.8667,-67.5,No hotel found
142,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,No hotel found
143,Hithadhoo,MV,81.1,scattered clouds,-0.6,73.0833,No hotel found
145,Oranjestad,AW,73.35,scattered clouds,12.524,-70.027,No hotel found
146,Biak,ID,77.4,light rain,-0.9131,122.8766,No hotel found
156,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,No hotel found
159,Yulara,AU,77.4,overcast clouds,-25.2406,130.9889,No hotel found
161,Panama City,PA,85.95,few clouds,8.9936,-79.5197,No hotel found
167,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,No hotel found
169,Eyl,SO,74.34,broken clouds,7.9803,49.8164,No hotel found
